epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.5,2.28124,1.6478,1.32576,0.70259,0.66693,0.62239,0.20315,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,525.033,2.16999,1.51794,1.26199,0.68266,0.66875,0.63129,0.20164,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,774.958,2.11928,1.46391,1.23578,0.74501,0.73435,0.70133,0.24462,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,1022.62,2.07222,1.41158,1.2113,0.74327,0.73032,0.68114,0.24177,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1271.62,2.03258,1.36523,1.19608,0.76431,0.75607,0.7114,0.25388,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1519.26,1.99341,1.31894,1.17806,0.75512,0.74245,0.70773,0.25275,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1767.56,1.94992,1.27608,1.16187,0.75684,0.74519,0.70691,0.25227,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,2015.47,1.91304,1.22693,1.14762,0.75048,0.74226,0.70228,0.24971,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2263.06,1.87421,1.18089,1.13246,0.74592,0.73548,0.69349,0.24508,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2511.87,1.83993,1.1422,1.1209,0.74496,0.73526,0.6894,0.24283,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,512.429,2.28124,1.6478,1.32576,0.70259,0.66693,0.62239,0.20315,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,974.022,2.16999,1.51794,1.26199,0.68266,0.66875,0.63129,0.20164,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,1418.69,2.11928,1.46391,1.23578,0.74501,0.73435,0.70133,0.24462,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,1858.34,2.07222,1.41158,1.2113,0.74327,0.73032,0.68114,0.24177,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,2297.92,2.03258,1.36523,1.19608,0.76431,0.75607,0.7114,0.25388,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,2737.33,1.99341,1.31894,1.17806,0.75512,0.74245,0.70773,0.25275,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,3176.52,1.94992,1.27608,1.16187,0.75684,0.74519,0.70691,0.25227,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,3622.59,1.91304,1.22693,1.14762,0.75048,0.74226,0.70228,0.24971,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,4063.38,1.87421,1.18089,1.13246,0.74592,0.73548,0.69349,0.24508,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,4501.29,1.83993,1.1422,1.1209,0.74496,0.73526,0.6894,0.24283,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,257.089,2.28124,1.6478,1.32576,0.70259,0.66693,0.62239,0.20315,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,499.459,2.16999,1.51794,1.26199,0.68266,0.66875,0.63129,0.20164,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,735.931,2.11928,1.46391,1.23578,0.74501,0.73435,0.70133,0.24462,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,969.394,2.07222,1.41158,1.2113,0.74327,0.73032,0.68114,0.24177,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1205.65,2.03258,1.36523,1.19608,0.76431,0.75607,0.7114,0.25388,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1440.63,1.99341,1.31894,1.17806,0.75512,0.74245,0.70773,0.25275,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1676.01,1.94992,1.27608,1.16187,0.75684,0.74519,0.70691,0.25227,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,1907.45,1.91304,1.22693,1.14762,0.75048,0.74226,0.70228,0.24971,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2139.89,1.87421,1.18089,1.13246,0.74592,0.73548,0.69349,0.24508,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2376.47,1.83993,1.1422,1.1209,0.74496,0.73526,0.6894,0.24283,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,268.624,2.28124,1.6478,1.32576,0.70259,0.66693,0.62239,0.20315,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,525.581,2.16999,1.51794,1.26199,0.68266,0.66875,0.63129,0.20164,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,777.937,2.11928,1.46391,1.23578,0.74501,0.73435,0.70133,0.24462,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,1025.9,2.07222,1.41158,1.2113,0.74327,0.73032,0.68114,0.24177,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1272.98,2.03258,1.36523,1.19608,0.76431,0.75607,0.7114,0.25388,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1520.05,1.99341,1.31894,1.17806,0.75512,0.74245,0.70773,0.25275,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1768.88,1.94992,1.27608,1.16187,0.75684,0.74519,0.70691,0.25227,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,2015.02,1.91304,1.22693,1.14762,0.75048,0.74226,0.70228,0.24971,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2264.73,1.87421,1.18089,1.13246,0.74592,0.73548,0.69349,0.24508,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
