epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.102,2.34161,1.66921,1.32871,0.68016,0.50898,0.53376,0.17507,2.29165,1.8357,1.3921,0.0700089,0.00333235,0.00333235
2,499.402,2.22011,1.53171,1.26256,0.74536,0.56191,0.60207,0.20962,2.2607,1.55723,1.36878,0.039349,0.00600578,0.00600578
3,741.357,2.16671,1.48034,1.23698,0.78015,0.63107,0.65246,0.2338,2.12632,1.50322,1.29193,0.00802907,0.00801921,0.00801921
4,979.246,2.11967,1.43992,1.21493,0.75751,0.69398,0.6811,0.24045,2.1183,1.51744,1.28857,0.00703,0.00703,0.00703
5,1216.86,2.08813,1.40135,1.20021,0.77659,0.69988,0.69329,0.24877,2.13335,1.48435,1.29469,0.00604,0.00604,0.00604
6,1455.81,2.04778,1.36017,1.18408,0.77286,0.69524,0.69179,0.24746,2.13298,1.49541,1.29341,0.00505,0.00505,0.00505
7,1695.06,2.01843,1.32414,1.17392,0.76825,0.7043,0.69935,0.25205,2.14527,1.48003,1.30328,0.00406,0.00406,0.00406
8,1932.64,1.98633,1.28666,1.16072,0.76184,0.7151,0.69781,0.24869,2.16325,1.48132,1.31202,0.00307,0.00307,0.00307
9,2163.94,1.9517,1.25005,1.14692,0.76299,0.71713,0.69815,0.25035,2.18053,1.48155,1.32187,0.00208,0.00208,0.00208
10,2401.14,1.92104,1.21736,1.13595,0.75521,0.71653,0.68815,0.2454,2.2062,1.47813,1.33787,0.00109,0.00109,0.00109
