epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.23,2.34154,1.67504,1.33571,0.69099,0.66129,0.63207,0.2033,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,513.865,2.22426,1.53199,1.26291,0.73809,0.68852,0.66288,0.23052,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,757.138,2.16857,1.48179,1.23597,0.74685,0.73543,0.7073,0.24663,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,999.338,2.12027,1.43451,1.20996,0.75368,0.74322,0.70754,0.25329,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,1240.05,2.08258,1.39872,1.19682,0.75368,0.74333,0.71229,0.25538,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,1482.34,2.05156,1.35708,1.18245,0.75826,0.74689,0.71453,0.25511,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,1722.92,2.01511,1.32339,1.16756,0.75401,0.74922,0.71153,0.25249,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,1964.25,1.98343,1.2871,1.15674,0.75617,0.74783,0.71249,0.25337,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,2206.39,1.94722,1.24746,1.14499,0.75298,0.7415,0.70502,0.2488,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,2447.8,1.91734,1.21281,1.13488,0.74478,0.73757,0.69563,0.24314,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
1,512.857,2.34154,1.67504,1.33571,0.69099,0.66129,0.63207,0.2033,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,970.413,2.22426,1.53199,1.26291,0.73809,0.68852,0.66288,0.23052,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,1414.67,2.16857,1.48179,1.23597,0.74685,0.73543,0.7073,0.24663,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,1851.5,2.12027,1.43451,1.20996,0.75368,0.74322,0.70754,0.25329,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,2289.26,2.08258,1.39872,1.19682,0.75368,0.74333,0.71229,0.25538,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,2726.33,2.05156,1.35708,1.18245,0.75826,0.74689,0.71453,0.25511,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,3162.76,2.01511,1.32339,1.16756,0.75401,0.74922,0.71153,0.25249,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,3599.88,1.98343,1.2871,1.15674,0.75617,0.74783,0.71249,0.25337,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,4036,1.94722,1.24746,1.14499,0.75298,0.7415,0.70502,0.2488,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,4472.41,1.91734,1.21281,1.13488,0.74478,0.73757,0.69563,0.24314,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
1,271.513,2.34154,1.67504,1.33571,0.69099,0.66129,0.63207,0.2033,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
1,8.78568,3.20837,4.41507,1.85329,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,17.294,2.39735,2.07129,1.38096,0.0824,0.0824,0.05388,0.01225,3.7045,5.32089,2.50406,0.0382825,0.0032825,0.0032825
1,16.0812,3.20837,4.41507,1.85329,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,31.237,2.39735,2.07129,1.38096,0.0824,0.0824,0.05388,0.01225,3.7045,5.32089,2.50406,0.0382825,0.0032825,0.0032825
1,8.60277,3.20837,4.41507,1.85329,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,14.5635,2.47674,2.18363,1.40774,0,0,0,0,6.572,69.5846,76.5501,0.0408565,0.0058565,0.0058565
