epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.776,2.34154,1.67504,1.33571,0.69099,0.66129,0.63207,0.2033,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,543.047,2.22426,1.53199,1.26291,0.73809,0.68852,0.66288,0.23052,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,805.074,2.16857,1.48179,1.23597,0.74685,0.73543,0.7073,0.24663,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,1067.15,2.12027,1.43451,1.20996,0.75368,0.74322,0.70754,0.25329,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,1326.81,2.08258,1.39872,1.19682,0.75368,0.74333,0.71229,0.25538,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,1574.07,2.05156,1.35708,1.18245,0.75826,0.74689,0.71453,0.25511,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,1832.33,2.01511,1.32339,1.16756,0.75401,0.74922,0.71153,0.25249,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,2094.46,1.98343,1.2871,1.15674,0.75617,0.74783,0.71249,0.25337,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,2354.04,1.94722,1.24746,1.14499,0.75298,0.7415,0.70502,0.2488,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,2616.66,1.91734,1.21281,1.13488,0.74478,0.73757,0.69563,0.24314,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
1,256.828,2.34154,1.67504,1.33571,0.83221,0.14152,0.47744,0.17872,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,503.91,2.22426,1.53199,1.26291,0.77264,0.50212,0.5991,0.2174,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,745.647,2.16857,1.48179,1.23597,0.79312,0.6116,0.66947,0.24063,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,986.044,2.12027,1.43451,1.20996,0.77776,0.65041,0.676,0.24722,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,1225.92,2.08258,1.39872,1.19682,0.78075,0.67833,0.69217,0.25302,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,1465.85,2.05156,1.35708,1.18245,0.77686,0.70976,0.70289,0.2543,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,1706.27,2.01511,1.32339,1.16756,0.77431,0.71609,0.702,0.25213,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,1945.58,1.98343,1.2871,1.15674,0.76735,0.72949,0.70709,0.25327,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,2183.97,1.94722,1.24746,1.14499,0.76195,0.73201,0.70242,0.24908,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,2423.56,1.91734,1.21281,1.13488,0.75277,0.72698,0.6929,0.24332,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
1,496.899,2.34154,1.67504,1.33571,0.83221,0.14152,0.47744,0.17872,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,947.492,2.22426,1.53199,1.26291,0.77264,0.50212,0.5991,0.2174,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,1383.7,2.16857,1.48179,1.23597,0.79312,0.6116,0.66947,0.24063,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,1813,2.12027,1.43451,1.20996,0.77776,0.65041,0.676,0.24722,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,2243.43,2.08258,1.39872,1.19682,0.78075,0.67833,0.69217,0.25302,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,2675.81,2.05156,1.35708,1.18245,0.77686,0.70976,0.70289,0.2543,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,3108.06,2.01511,1.32339,1.16756,0.77431,0.71609,0.702,0.25213,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,3542.46,1.98343,1.2871,1.15674,0.76735,0.72949,0.70709,0.25327,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,3976,1.94722,1.24746,1.14499,0.76195,0.73201,0.70242,0.24908,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,4416.07,1.91734,1.21281,1.13488,0.75277,0.72698,0.6929,0.24332,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
1,255.853,2.34154,1.67504,1.33571,0.83221,0.14152,0.47744,0.17872,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,495.506,2.22426,1.53199,1.26291,0.77264,0.50212,0.5991,0.2174,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,730.674,2.16857,1.48179,1.23597,0.79312,0.6116,0.66947,0.24063,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,964.788,2.12027,1.43451,1.20996,0.77776,0.65041,0.676,0.24722,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,1199.45,2.08258,1.39872,1.19682,0.78075,0.67833,0.69217,0.25302,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,1434.5,2.05156,1.35708,1.18245,0.77686,0.70976,0.70289,0.2543,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,1668.53,2.01511,1.32339,1.16756,0.77431,0.71609,0.702,0.25213,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,1905.67,1.98343,1.2871,1.15674,0.76735,0.72949,0.70709,0.25327,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,2143.93,1.94722,1.24746,1.14499,0.76195,0.73201,0.70242,0.24908,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
1,261.839,2.34154,1.67504,1.33571,0.83221,0.14152,0.47744,0.17872,2.30681,1.64023,1.39052,0.0700089,0.00333235,0.00333235
2,509.471,2.22426,1.53199,1.26291,0.77264,0.50212,0.5991,0.2174,2.19389,1.55936,1.31823,0.039349,0.00600578,0.00600578
3,753.418,2.16857,1.48179,1.23597,0.79312,0.6116,0.66947,0.24063,2.17269,1.52905,1.31132,0.00802907,0.00801921,0.00801921
4,995.563,2.12027,1.43451,1.20996,0.77776,0.65041,0.676,0.24722,2.10049,1.51028,1.27981,0.00703,0.00703,0.00703
5,1241.41,2.08258,1.39872,1.19682,0.78075,0.67833,0.69217,0.25302,2.12763,1.49932,1.2919,0.00604,0.00604,0.00604
6,1484.3,2.05156,1.35708,1.18245,0.77686,0.70976,0.70289,0.2543,2.12494,1.4888,1.29353,0.00505,0.00505,0.00505
7,1726.11,2.01511,1.32339,1.16756,0.77431,0.71609,0.702,0.25213,2.14856,1.48784,1.30578,0.00406,0.00406,0.00406
8,1968.41,1.98343,1.2871,1.15674,0.76735,0.72949,0.70709,0.25327,2.16007,1.46936,1.31499,0.00307,0.00307,0.00307
9,2211.77,1.94722,1.24746,1.14499,0.76195,0.73201,0.70242,0.24908,2.18659,1.47342,1.32712,0.00208,0.00208,0.00208
10,2460.76,1.91734,1.21281,1.13488,0.75277,0.72698,0.6929,0.24332,2.19994,1.47659,1.33216,0.00109,0.00109,0.00109
