epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.695,2.58192,1.97782,1.76338,0.69963,0.53352,0.56425,0.19872,2.54584,2.4471,1.83099,0.0700089,0.00333235,0.00333235
2,527.546,2.45946,1.81523,1.67917,0.70527,0.68267,0.63895,0.21694,2.48752,1.89058,1.78108,0.039349,0.00600578,0.00600578
3,777.483,2.3967,1.75642,1.64352,0.76108,0.75147,0.71695,0.25275,2.40858,1.82029,1.72128,0.00802907,0.00801921,0.00801921
4,1025.1,2.34746,1.69291,1.61229,0.74613,0.74194,0.6861,0.24354,2.41,1.81201,1.72886,0.00703,0.00703,0.00703
5,1272.25,2.29701,1.63533,1.59066,0.76432,0.75174,0.72204,0.25664,2.43714,1.76933,1.74104,0.00604,0.00604,0.00604
6,1518.73,2.2536,1.5774,1.56805,0.7583,0.74311,0.71149,0.25644,2.43608,1.77512,1.74569,0.00505,0.00505,0.00505
7,1766.94,2.20714,1.52255,1.54639,0.75841,0.74384,0.71337,0.25497,2.46702,1.75391,1.76228,0.00406,0.00406,0.00406
8,2013.86,2.16447,1.46554,1.52721,0.75307,0.74659,0.71028,0.25365,2.49406,1.74107,1.78831,0.00307,0.00307,0.00307
9,2261.6,2.12099,1.41384,1.50803,0.75173,0.73851,0.7035,0.24917,2.5283,1.74973,1.81031,0.00208,0.00208,0.00208
10,2508.27,2.08406,1.37071,1.4923,0.74925,0.73435,0.70058,0.24755,2.55683,1.74109,1.83146,0.00109,0.00109,0.00109
1,510.735,2.58192,1.97782,1.76338,0.69963,0.53352,0.56425,0.19872,2.54584,2.4471,1.83099,0.0700089,0.00333235,0.00333235
2,969.216,2.45946,1.81523,1.67917,0.70527,0.68267,0.63895,0.21694,2.48752,1.89058,1.78108,0.039349,0.00600578,0.00600578
3,1412.71,2.3967,1.75642,1.64352,0.76108,0.75147,0.71695,0.25275,2.40858,1.82029,1.72128,0.00802907,0.00801921,0.00801921
4,1851.02,2.34746,1.69291,1.61229,0.74613,0.74194,0.6861,0.24354,2.41,1.81201,1.72886,0.00703,0.00703,0.00703
5,2290.79,2.29701,1.63533,1.59066,0.76432,0.75174,0.72204,0.25664,2.43714,1.76933,1.74104,0.00604,0.00604,0.00604
6,2729.96,2.2536,1.5774,1.56805,0.7583,0.74311,0.71149,0.25644,2.43608,1.77512,1.74569,0.00505,0.00505,0.00505
7,3171.09,2.20714,1.52255,1.54639,0.75841,0.74384,0.71337,0.25497,2.46702,1.75391,1.76228,0.00406,0.00406,0.00406
8,3607.62,2.16447,1.46554,1.52721,0.75307,0.74659,0.71028,0.25365,2.49406,1.74107,1.78831,0.00307,0.00307,0.00307
9,4045.72,2.12099,1.41384,1.50803,0.75173,0.73851,0.7035,0.24917,2.5283,1.74973,1.81031,0.00208,0.00208,0.00208
10,4483.89,2.08406,1.37071,1.4923,0.74925,0.73435,0.70058,0.24755,2.55683,1.74109,1.83146,0.00109,0.00109,0.00109
1,9.05935,3.65349,5.04426,2.44006,0.0008,0.0008,0.0004,4e-05,3.65517,6.71631,4.47108,0.0712,0.0032,0.0032
2,15.6026,2.72152,2.29025,1.84372,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,23.0134,2.53452,1.94675,1.76525,0,0,0,0,3.40252,67.8632,2.93457,0.0098596,0.0078596,0.0078596
4,30.902,2.37521,1.67093,1.67222,0.47473,0.4396,0.43408,0.1355,3.23571,2.41853,2.56347,0.00703,0.00703,0.00703
5,38.8447,2.2613,1.53053,1.61922,0.2784,0.2784,0.19307,0.05424,3.65645,5.6456,2.87852,0.00604,0.00604,0.00604
6,46.4904,2.1716,1.49184,1.5822,0.42525,0.3792,0.34916,0.10151,3.64171,2.36978,2.80678,0.00505,0.00505,0.00505
7,54.2389,2.09279,1.35294,1.55738,0.29727,0.20583,0.15525,0.045,4.03331,2.8465,3.16946,0.00406,0.00406,0.00406
8,61.9424,1.99887,1.25301,1.5269,0.39668,0.3688,0.34241,0.09773,3.83315,2.25719,2.90681,0.00307,0.00307,0.00307
9,69.5616,1.8813,1.18127,1.465,0.5232,0.5232,0.4729,0.13307,3.31982,2.09512,2.52978,0.00208,0.00208,0.00208
10,76.781,1.81606,1.1325,1.45016,0.5496,0.5496,0.51538,0.13466,3.29739,2.30667,2.48865,0.00109,0.00109,0.00109
1,9.3648,3.65349,5.04426,2.44006,0.0008,0.0008,0.0004,4e-05,3.65517,6.71631,4.47108,0.0712,0.0032,0.0032
2,15.9839,2.72152,2.29025,1.84372,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,23.703,2.53452,1.94675,1.76525,0,0,0,0,3.40252,67.8632,2.93457,0.0098596,0.0078596,0.0078596
4,31.9395,2.37521,1.67093,1.67222,0.47473,0.4396,0.43408,0.1355,3.23571,2.41853,2.56347,0.00703,0.00703,0.00703
5,40.3234,2.2613,1.53053,1.61922,0.2784,0.2784,0.19307,0.05424,3.65645,5.6456,2.87852,0.00604,0.00604,0.00604
6,48.2001,2.1716,1.49184,1.5822,0.42525,0.3792,0.34916,0.10151,3.64171,2.36978,2.80678,0.00505,0.00505,0.00505
7,56.3685,2.09279,1.35294,1.55738,0.29727,0.20583,0.15525,0.045,4.03331,2.8465,3.16946,0.00406,0.00406,0.00406
8,64.0981,1.99887,1.25301,1.5269,0.39668,0.3688,0.34241,0.09773,3.83315,2.25719,2.90681,0.00307,0.00307,0.00307
9,71.7302,1.8813,1.18127,1.465,0.5232,0.5232,0.4729,0.13307,3.31982,2.09512,2.52978,0.00208,0.00208,0.00208
10,79.2471,1.81606,1.1325,1.45016,0.5496,0.5496,0.51538,0.13466,3.29739,2.30667,2.48865,0.00109,0.00109,0.00109
