epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.325,2.58084,1.96864,1.75787,0.72369,0.65206,0.61298,0.20389,2.49947,1.94001,1.80319,0.0700089,0.00333235,0.00333235
2,501.256,2.45458,1.80953,1.67606,0.77354,0.67018,0.66841,0.2392,2.45034,1.82121,1.76308,0.039349,0.00600578,0.00600578
3,741.725,2.39999,1.7515,1.64324,0.77155,0.65726,0.67067,0.2371,2.47697,1.80382,1.77072,0.00802907,0.00801921,0.00801921
4,982.863,2.34223,1.69455,1.61388,0.76869,0.68596,0.68239,0.24599,2.39448,1.82614,1.71363,0.00703,0.00703,0.00703
5,1222.11,2.29919,1.64071,1.59125,0.76899,0.70417,0.693,0.25088,2.41972,1.78898,1.72446,0.00604,0.00604,0.00604
6,1461.48,2.25108,1.57771,1.56871,0.78232,0.7327,0.71969,0.25869,2.44362,1.75531,1.74213,0.00505,0.00505,0.00505
7,1699.47,2.20857,1.52108,1.54929,0.76415,0.71965,0.69971,0.24997,2.45534,1.7652,1.75124,0.00406,0.00406,0.00406
8,1936.41,2.16715,1.46637,1.52893,0.76661,0.73248,0.70899,0.2509,2.49296,1.74265,1.77734,0.00307,0.00307,0.00307
9,2174.54,2.12455,1.41183,1.51134,0.75728,0.72511,0.69887,0.24749,2.52711,1.74575,1.79743,0.00208,0.00208,0.00208
10,2413.05,2.08484,1.36927,1.49445,0.75502,0.72672,0.69435,0.24305,2.55087,1.74151,1.81829,0.00109,0.00109,0.00109
1,275.599,2.58192,1.97782,1.76338,0.69963,0.53352,0.56425,0.19872,2.54584,2.4471,1.83099,0.0700089,0.00333235,0.00333235
2,544.539,2.45946,1.81523,1.67917,0.70527,0.68267,0.63895,0.21694,2.48752,1.89058,1.78108,0.039349,0.00600578,0.00600578
3,808.971,2.3967,1.75642,1.64352,0.76108,0.75147,0.71695,0.25275,2.40858,1.82029,1.72128,0.00802907,0.00801921,0.00801921
4,1061.03,2.34746,1.69291,1.61229,0.74613,0.74194,0.6861,0.24354,2.41,1.81201,1.72886,0.00703,0.00703,0.00703
5,1312.61,2.29701,1.63533,1.59066,0.76432,0.75174,0.72204,0.25664,2.43714,1.76933,1.74104,0.00604,0.00604,0.00604
6,1565,2.2536,1.5774,1.56805,0.7583,0.74311,0.71149,0.25644,2.43608,1.77512,1.74569,0.00505,0.00505,0.00505
7,1819.08,2.20714,1.52255,1.54639,0.75841,0.74384,0.71337,0.25497,2.46702,1.75391,1.76228,0.00406,0.00406,0.00406
8,2072.72,2.16447,1.46554,1.52721,0.75307,0.74659,0.71028,0.25365,2.49406,1.74107,1.78831,0.00307,0.00307,0.00307
9,2327.69,2.12099,1.41384,1.50803,0.75173,0.73851,0.7035,0.24917,2.5283,1.74973,1.81031,0.00208,0.00208,0.00208
10,2582.26,2.08406,1.37071,1.4923,0.74925,0.73435,0.70058,0.24755,2.55683,1.74109,1.83146,0.00109,0.00109,0.00109
1,268.835,2.58192,1.97782,1.76338,0.63449,0.40578,0.49741,0.17761,2.54584,2.4471,1.83099,0.0700089,0.00333235,0.00333235
2,520.55,2.45946,1.81523,1.67917,0.74728,0.51474,0.58945,0.21062,2.48752,1.89058,1.78108,0.039349,0.00600578,0.00600578
3,766.551,2.3967,1.75642,1.64352,0.79445,0.64434,0.68111,0.24737,2.40858,1.82029,1.72128,0.00802907,0.00801921,0.00801921
4,1011.59,2.34746,1.69291,1.61229,0.77186,0.69472,0.67226,0.24189,2.41,1.81201,1.72886,0.00703,0.00703,0.00703
5,1257.61,2.29701,1.63533,1.59066,0.78166,0.71952,0.71221,0.25561,2.43714,1.76933,1.74104,0.00604,0.00604,0.00604
6,1503.65,2.2536,1.5774,1.56805,0.7743,0.70556,0.69925,0.25501,2.43608,1.77512,1.74569,0.00505,0.00505,0.00505
7,1751.25,2.20714,1.52255,1.54639,0.771,0.72763,0.70854,0.255,2.46702,1.75391,1.76228,0.00406,0.00406,0.00406
8,1995.71,2.16447,1.46554,1.52721,0.76349,0.73439,0.70685,0.25372,2.49406,1.74107,1.78831,0.00307,0.00307,0.00307
9,2241.59,2.12099,1.41384,1.50803,0.75874,0.73166,0.70153,0.24963,2.5283,1.74973,1.81031,0.00208,0.00208,0.00208
10,2487.69,2.08406,1.37071,1.4923,0.75311,0.73014,0.69911,0.24797,2.55683,1.74109,1.83146,0.00109,0.00109,0.00109
1,505.597,2.58192,1.97782,1.76338,0.63449,0.40578,0.49741,0.17761,2.54584,2.4471,1.83099,0.0700089,0.00333235,0.00333235
2,959.571,2.45946,1.81523,1.67917,0.74728,0.51474,0.58945,0.21062,2.48752,1.89058,1.78108,0.039349,0.00600578,0.00600578
3,1400.11,2.3967,1.75642,1.64352,0.79445,0.64434,0.68111,0.24737,2.40858,1.82029,1.72128,0.00802907,0.00801921,0.00801921
4,1834.13,2.34746,1.69291,1.61229,0.77186,0.69472,0.67226,0.24189,2.41,1.81201,1.72886,0.00703,0.00703,0.00703
