epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.756,2.232,3e-05,1.32377,0,0,0,0,2.17307,2.14196,1.37924,0.0700089,0.00333235,0.00333235
2,544.286,2.70332,3e-05,1.01754,0,0,0,0,0,0,0,0.039349,0.00600578,0.00600578
3,799.253,2.66453,2e-05,0.88217,9e-05,9e-05,5e-05,1e-05,2.61036,0.00014,0.86784,0.00802907,0.00801921,0.00801921
4,1043.91,2.56648,2e-05,0.87364,0.5403,0.09005,0.29979,0.13458,2.55319,5e-05,0.85977,0.00703,0.00703,0.00703
5,1294.91,2.51738,2e-05,0.86968,0.35248,0.2474,0.28451,0.10944,2.53964,0.00011,0.85941,0.00604,0.00604,0.00604
6,1525.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
7,1764.33,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
8,1990.13,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
9,2222.75,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
10,2451.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
1,299.569,2.232,3e-05,1.32377,0,0,0,0,2.17307,2.14196,1.37924,0.0700089,0.00333235,0.00333235
2,536.798,2.70332,3e-05,1.01754,0,0,0,0,0,0,0,0.039349,0.00600578,0.00600578
3,783.085,2.66453,2e-05,0.88217,9e-05,9e-05,5e-05,1e-05,2.61036,0.00014,0.86784,0.00802907,0.00801921,0.00801921
4,1019.21,2.56648,2e-05,0.87364,0.5403,0.09005,0.29979,0.13458,2.55319,5e-05,0.85977,0.00703,0.00703,0.00703
5,1263.26,2.51738,2e-05,0.86968,0.35248,0.2474,0.28451,0.10944,2.53964,0.00011,0.85941,0.00604,0.00604,0.00604
6,1487.51,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
7,1708.36,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
8,1930.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
9,2151.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
10,2372.93,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
1,295.953,2.232,3e-05,1.32377,0,0,0,0,2.17307,2.14196,1.37924,0.0700089,0.00333235,0.00333235
2,533.343,2.70332,3e-05,1.01754,0,0,0,0,0,0,0,0.039349,0.00600578,0.00600578
3,783.607,2.66453,2e-05,0.88217,9e-05,9e-05,5e-05,1e-05,2.61036,0.00014,0.86784,0.00802907,0.00801921,0.00801921
