epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.547,2.27909,1.64083,1.32518,0.62584,0.57445,0.52483,0.15589,2.28133,1.75939,1.35168,0.0700089,0.00333235,0.00333235
2,511.971,2.16923,1.51151,1.26179,0.70317,0.63896,0.59298,0.20182,2.2352,1.55222,1.34081,0.039349,0.00600578,0.00600578
3,753.138,2.11908,1.46229,1.23437,0.78597,0.68648,0.69683,0.25149,2.11219,1.50212,1.29156,0.00802907,0.00801921,0.00801921
4,990.681,2.06916,1.41734,1.21292,0.76794,0.67252,0.67301,0.24678,2.11434,1.52668,1.2907,0.00703,0.00703,0.00703
5,1228.78,2.03046,1.37069,1.1963,0.77378,0.72533,0.70766,0.25647,2.13022,1.49091,1.29379,0.00604,0.00604,0.00604
6,1466.24,1.98769,1.31716,1.17878,0.77014,0.70842,0.68922,0.24995,2.15392,1.48638,1.30994,0.00505,0.00505,0.00505
7,1703.53,1.95181,1.27359,1.16629,0.76043,0.71072,0.68617,0.24732,2.17938,1.47665,1.31984,0.00406,0.00406,0.00406
8,1948.43,1.91449,1.22851,1.15096,0.76302,0.72615,0.69707,0.24954,2.20361,1.46409,1.33447,0.00307,0.00307,0.00307
9,2189.7,1.87863,1.18575,1.13835,0.76095,0.72555,0.69535,0.2487,2.22415,1.45478,1.34826,0.00208,0.00208,0.00208
10,2427.47,1.84192,1.14712,1.12607,0.75509,0.7249,0.68769,0.24449,2.25027,1.45297,1.36539,0.00109,0.00109,0.00109
1,312.056,2.232,3e-05,1.32377,0.00061,0.89932,0.00105,0.00028,2.17307,2.14196,1.37924,0.0700089,0.00333235,0.00333235
2,545.84,2.70332,3e-05,1.01754,0,0,0,0,0,0,0,0.039349,0.00600578,0.00600578
3,788.954,2.66453,2e-05,0.88217,0.00025,0.0016,0.00013,6e-05,2.61036,0.00014,0.86784,0.00802907,0.00801921,0.00801921
4,1014.66,2.56648,2e-05,0.87364,0,0,0,0,2.55319,5e-05,0.85977,0.00703,0.00703,0.00703
5,1256.28,2.51738,2e-05,0.86968,0.39669,0.12175,0.24164,0.10745,2.53964,0.00011,0.85941,0.00604,0.00604,0.00604
6,1481.16,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
7,1704.01,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
8,1927.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
9,2150.17,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
10,2373.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
1,592.171,2.232,3e-05,1.32377,0.00061,0.89932,0.00105,0.00028,2.17307,2.14196,1.37924,0.0700089,0.00333235,0.00333235
2,1022.52,2.70332,3e-05,1.01754,0,0,0,0,0,0,0,0.039349,0.00600578,0.00600578
3,1468.66,2.66453,2e-05,0.88217,0.00025,0.0016,0.00013,6e-05,2.61036,0.00014,0.86784,0.00802907,0.00801921,0.00801921
4,1876.45,2.56648,2e-05,0.87364,0,0,0,0,2.55319,5e-05,0.85977,0.00703,0.00703,0.00703
5,2315.98,2.51738,2e-05,0.86968,0.39669,0.12175,0.24164,0.10745,2.53964,0.00011,0.85941,0.00604,0.00604,0.00604
6,2717.88,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00505,0.00505,0.00505
7,3115.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
8,3515.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
9,3913.83,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
10,4312.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
