epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.197,2.30499,1.72325,15.556,0.50375,0.3564,0.36874,0.11713,2.4365,2.22208,16.4724,0.0700089,0.00333235,0.00333235
2,524.341,2.19743,1.56042,14.8316,0.74988,0.73595,0.69058,0.24042,2.1517,1.57453,15.2596,0.039349,0.00600578,0.00600578
3,773.666,2.14773,1.50421,14.5657,0.7456,0.73613,0.70619,0.24906,2.14754,1.51546,15.1672,0.00802907,0.00801921,0.00801921
4,1022.71,2.10609,1.45394,14.2951,0.74183,0.72758,0.68719,0.24148,2.1486,1.52912,15.1326,0.00703,0.00703,0.00703
5,1270.16,2.06882,1.41794,14.1156,0.76346,0.7516,0.70472,0.25156,2.14533,1.48251,15.1533,0.00604,0.00604,0.00604
6,1517.09,2.03835,1.3826,13.9217,0.76514,0.74694,0.70598,0.25199,2.15755,1.46718,15.3194,0.00505,0.00505,0.00505
7,1761.79,2.00248,1.35133,13.7578,0.764,0.75031,0.70719,0.2522,2.17373,1.47412,15.4845,0.00406,0.00406,0.00406
8,2002.3,1.96961,1.31648,13.5849,0.7569,0.74348,0.70138,0.24925,2.20624,1.46114,15.7174,0.00307,0.00307,0.00307
9,2244.73,1.93777,1.28665,13.4258,0.75528,0.74129,0.6974,0.24522,2.22515,1.46633,15.8841,0.00208,0.00208,0.00208
10,2485.01,1.90814,1.2618,13.2967,0.74867,0.73449,0.68982,0.24256,2.23786,1.46556,15.9855,0.00109,0.00109,0.00109
1,527.241,2.30499,1.72325,15.556,0.50375,0.3564,0.36874,0.11713,2.4365,2.22208,16.4724,0.0700089,0.00333235,0.00333235
2,1006.3,2.19743,1.56042,14.8316,0.74988,0.73595,0.69058,0.24042,2.1517,1.57453,15.2596,0.039349,0.00600578,0.00600578
3,1469.21,2.14773,1.50421,14.5657,0.7456,0.73613,0.70619,0.24906,2.14754,1.51546,15.1672,0.00802907,0.00801921,0.00801921
4,1925.17,2.10609,1.45394,14.2951,0.74183,0.72758,0.68719,0.24148,2.1486,1.52912,15.1326,0.00703,0.00703,0.00703
5,2382.13,2.06882,1.41794,14.1156,0.76346,0.7516,0.70472,0.25156,2.14533,1.48251,15.1533,0.00604,0.00604,0.00604
6,2838.43,2.03835,1.3826,13.9217,0.76514,0.74694,0.70598,0.25199,2.15755,1.46718,15.3194,0.00505,0.00505,0.00505
7,3293.88,2.00248,1.35133,13.7578,0.764,0.75031,0.70719,0.2522,2.17373,1.47412,15.4845,0.00406,0.00406,0.00406
8,3749.09,1.96961,1.31648,13.5849,0.7569,0.74348,0.70138,0.24925,2.20624,1.46114,15.7174,0.00307,0.00307,0.00307
9,4203.5,1.93777,1.28665,13.4258,0.75528,0.74129,0.6974,0.24522,2.22515,1.46633,15.8841,0.00208,0.00208,0.00208
10,4658.43,1.90814,1.2618,13.2967,0.74867,0.73449,0.68982,0.24256,2.23786,1.46556,15.9855,0.00109,0.00109,0.00109
1,6.7556,3.34579,4.81987,22.5848,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,10.8913,2.33746,2.43997,15.1565,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,18.0246,2.31678,2.06889,15.1508,0,0,0,0,4.41006,inf,231.511,0.0098596,0.0078596,0.0078596
4,26.116,2.20279,1.95623,14.4124,0,0,0,0,3.34274,inf,27.4878,0.00703,0.00703,0.00703
5,34.4726,2.12251,1.80986,14.2202,0.08554,0.0592,0.03813,0.00942,3.90837,21.542,27.7199,0.00604,0.00604,0.00604
6,42.9206,2.06143,1.62309,13.8358,0.09017,0.084,0.06491,0.0151,3.91277,9.30565,31.1425,0.00505,0.00505,0.00505
7,51.2108,1.96461,1.50315,13.626,0.36557,0.3384,0.26558,0.07395,3.06019,2.80656,20.5815,0.00406,0.00406,0.00406
8,59.455,1.9087,1.38424,13.3618,0.18674,0.1864,0.12138,0.03522,3.56669,2.68918,25.3515,0.00307,0.00307,0.00307
9,67.5532,1.83604,1.32801,13.1051,0.39221,0.3904,0.29044,0.08665,2.91168,2.15885,19.7818,0.00208,0.00208,0.00208
