epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.144,2.27909,1.64083,1.32518,0.62584,0.57445,0.52483,0.15589,2.28133,1.75939,1.35168,0.0700089,0.00333235,0.00333235
2,501.29,2.16923,1.51151,1.26179,0.70317,0.63896,0.59298,0.20182,2.2352,1.55222,1.34081,0.039349,0.00600578,0.00600578
3,740.433,2.11908,1.46229,1.23437,0.78597,0.68648,0.69683,0.25149,2.11219,1.50212,1.29156,0.00802907,0.00801921,0.00801921
4,981.739,2.06916,1.41734,1.21292,0.76794,0.67252,0.67301,0.24678,2.11434,1.52668,1.2907,0.00703,0.00703,0.00703
5,1223.54,2.03046,1.37069,1.1963,0.77378,0.72533,0.70766,0.25647,2.13022,1.49091,1.29379,0.00604,0.00604,0.00604
6,1464.88,1.98769,1.31716,1.17878,0.77014,0.70842,0.68922,0.24995,2.15392,1.48638,1.30994,0.00505,0.00505,0.00505
7,1705.04,1.95181,1.27359,1.16629,0.76043,0.71072,0.68617,0.24732,2.17938,1.47665,1.31984,0.00406,0.00406,0.00406
8,1942.93,1.91449,1.22851,1.15096,0.76302,0.72615,0.69707,0.24954,2.20361,1.46409,1.33447,0.00307,0.00307,0.00307
9,2181.73,1.87863,1.18575,1.13835,0.76095,0.72555,0.69535,0.2487,2.22415,1.45478,1.34826,0.00208,0.00208,0.00208
10,2419.91,1.84192,1.14712,1.12607,0.75509,0.7249,0.68769,0.24449,2.25027,1.45297,1.36539,0.00109,0.00109,0.00109
1,263.364,2.30499,1.72325,15.556,0.55863,0.1074,0.31669,0.1026,2.4365,2.22208,16.4724,0.0700089,0.00333235,0.00333235
2,516.162,2.19743,1.56042,14.8316,0.78239,0.60059,0.64584,0.23077,2.1517,1.57453,15.2596,0.039349,0.00600578,0.00600578
3,763.684,2.14773,1.50421,14.5657,0.78153,0.6446,0.67787,0.24589,2.14754,1.51546,15.1672,0.00802907,0.00801921,0.00801921
4,1010.14,2.10609,1.45394,14.2951,0.76445,0.65964,0.6654,0.23839,2.1486,1.52912,15.1326,0.00703,0.00703,0.00703
5,1255.64,2.06882,1.41794,14.1156,0.78815,0.68596,0.68312,0.24912,2.14533,1.48251,15.1533,0.00604,0.00604,0.00604
6,1501.61,2.03835,1.3826,13.9217,0.78514,0.70222,0.69208,0.25142,2.15755,1.46718,15.3194,0.00505,0.00505,0.00505
7,1747.15,2.00248,1.35133,13.7578,0.77701,0.69945,0.68982,0.24986,2.17373,1.47412,15.4845,0.00406,0.00406,0.00406
8,1993.92,1.96961,1.31648,13.5849,0.76853,0.71588,0.69243,0.24854,2.20624,1.46114,15.7174,0.00307,0.00307,0.00307
9,2238.96,1.93777,1.28665,13.4258,0.76489,0.72203,0.69108,0.24492,2.22515,1.46633,15.8841,0.00208,0.00208,0.00208
10,2485.6,1.90814,1.2618,13.2967,0.75658,0.71874,0.68477,0.24276,2.23786,1.46556,15.9855,0.00109,0.00109,0.00109
1,511.384,2.30499,1.72325,15.556,0.55863,0.1074,0.31669,0.1026,2.4365,2.22208,16.4724,0.0700089,0.00333235,0.00333235
2,983.404,2.19743,1.56042,14.8316,0.78239,0.60059,0.64584,0.23077,2.1517,1.57453,15.2596,0.039349,0.00600578,0.00600578
3,1439.87,2.14773,1.50421,14.5657,0.78153,0.6446,0.67787,0.24589,2.14754,1.51546,15.1672,0.00802907,0.00801921,0.00801921
4,1902.4,2.10609,1.45394,14.2951,0.76445,0.65964,0.6654,0.23839,2.1486,1.52912,15.1326,0.00703,0.00703,0.00703
5,2360.64,2.06882,1.41794,14.1156,0.78815,0.68596,0.68312,0.24912,2.14533,1.48251,15.1533,0.00604,0.00604,0.00604
6,2810.05,2.03835,1.3826,13.9217,0.78514,0.70222,0.69208,0.25142,2.15755,1.46718,15.3194,0.00505,0.00505,0.00505
7,3259.41,2.00248,1.35133,13.7578,0.77701,0.69945,0.68982,0.24986,2.17373,1.47412,15.4845,0.00406,0.00406,0.00406
8,3710.32,1.96961,1.31648,13.5849,0.76853,0.71588,0.69243,0.24854,2.20624,1.46114,15.7174,0.00307,0.00307,0.00307
9,4161.45,1.93777,1.28665,13.4258,0.76489,0.72203,0.69108,0.24492,2.22515,1.46633,15.8841,0.00208,0.00208,0.00208
10,4611.98,1.90814,1.2618,13.2967,0.75658,0.71874,0.68477,0.24276,2.23786,1.46556,15.9855,0.00109,0.00109,0.00109
