epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.855,502.629,3.58156,1.26058,0,0,0,0,502.605,3.52537,1.26877,0.0700089,0.00333235,0.00333235
2,693.748,502.52,3.52488,1.20565,0,0,0,0,502.495,3.50989,1.23205,0.039349,0.00600578,0.00600578
3,1027.05,502.472,3.51507,1.18625,0,0,0,0,502.462,3.49135,1.2209,0.00802907,0.00801921,0.00801921
4,1358.61,502.438,3.50346,1.16875,0,0,0,0,502.447,3.51727,1.22281,0.00703,0.00703,0.00703
5,1690.07,502.411,3.49404,1.1581,0,0,0,0,502.437,3.5705,1.2193,0.00604,0.00604,0.00604
6,2021.61,502.392,3.47965,1.14666,0,0,0,0,502.435,3.55776,1.21627,0.00505,0.00505,0.00505
7,2352.39,502.391,3.46885,1.13383,0,0,0,0,502.442,3.53414,1.2211,0.00406,0.00406,0.00406
8,2683.35,502.352,3.46142,1.1226,0,0,0,0,502.442,3.54583,1.22193,0.00307,0.00307,0.00307
9,3013.94,502.303,3.45654,1.10796,0,0,0,0,502.45,3.55037,1.22837,0.00208,0.00208,0.00208
10,3344.97,502.27,3.4527,1.09849,0,0,0,0,502.458,3.54791,1.23224,0.00109,0.00109,0.00109
1,717.441,502.629,3.58156,1.26058,0,0,0,0,502.605,3.52537,1.26877,0.0700089,0.00333235,0.00333235
2,1368.76,502.52,3.52488,1.20565,0,0,0,0,502.495,3.50989,1.23205,0.039349,0.00600578,0.00600578
3,2002.82,502.472,3.51507,1.18625,0,0,0,0,502.462,3.49135,1.2209,0.00802907,0.00801921,0.00801921
4,2633.58,502.438,3.50346,1.16875,0,0,0,0,502.447,3.51727,1.22281,0.00703,0.00703,0.00703
5,3263.32,502.411,3.49404,1.1581,0,0,0,0,502.437,3.5705,1.2193,0.00604,0.00604,0.00604
6,3893.3,502.392,3.47965,1.14666,0,0,0,0,502.435,3.55776,1.21627,0.00505,0.00505,0.00505
7,4522.62,502.391,3.46885,1.13383,0,0,0,0,502.442,3.53414,1.2211,0.00406,0.00406,0.00406
8,5152.84,502.352,3.46142,1.1226,0,0,0,0,502.442,3.54583,1.22193,0.00307,0.00307,0.00307
9,5782.55,502.303,3.45654,1.10796,0,0,0,0,502.45,3.55037,1.22837,0.00208,0.00208,0.00208
10,6412.09,502.27,3.4527,1.09849,0,0,0,0,502.458,3.54791,1.23224,0.00109,0.00109,0.00109
1,8.44727,503.931,5.16164,1.84591,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,14.4528,502.744,3.888,1.33557,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,23.0157,502.639,3.73867,1.28374,0.0104,0.0104,0.00542,0.00157,503.885,4.09226,3.12856,0.0098596,0.0078596,0.0078596
4,33.3577,502.559,3.67241,1.23023,0.0008,0.0008,0.00075,8e-05,505.142,4.75681,3.15686,0.00703,0.00703,0.00703
5,44.0201,502.446,3.65148,1.1866,0.0024,0.0024,0.00121,0.00024,505.229,6.68821,3.36256,0.00604,0.00604,0.00604
6,54.3716,502.334,3.61012,1.14679,0.0048,0.0048,0.00257,0.00049,504.982,5.44057,3.29354,0.00505,0.00505,0.00505
7,64.2204,502.293,3.6153,1.13117,0.1736,0.1736,0.13521,0.03419,503.057,3.77886,1.64143,0.00406,0.00406,0.00406
8,74.3954,502.186,3.57132,1.09674,0.0176,0.0176,0.00899,0.00203,503.604,3.76083,1.81646,0.00307,0.00307,0.00307
9,84.3874,502.131,3.56034,1.06333,0.1024,0.1024,0.05826,0.01372,503.417,3.65953,1.64622,0.00208,0.00208,0.00208
10,94.1327,502.068,3.55186,1.04425,0.1992,0.1992,0.12412,0.03992,502.758,3.65236,1.38812,0.00109,0.00109,0.00109
1,8.03305,503.931,5.16164,1.84591,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,14.0701,502.744,3.888,1.33557,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,22.8292,502.639,3.73867,1.28374,0.0104,0.0104,0.00542,0.00157,503.885,4.09226,3.12856,0.0098596,0.0078596,0.0078596
4,33.1456,502.559,3.67241,1.23023,0.0008,0.0008,0.00075,8e-05,505.142,4.75681,3.15686,0.00703,0.00703,0.00703
5,43.6608,502.446,3.65148,1.1866,0.0024,0.0024,0.00121,0.00024,505.229,6.68821,3.36256,0.00604,0.00604,0.00604
6,54.5598,502.334,3.61012,1.14679,0.0048,0.0048,0.00257,0.00049,504.982,5.44057,3.29354,0.00505,0.00505,0.00505
7,64.3546,502.293,3.6153,1.13117,0.1736,0.1736,0.13521,0.03419,503.057,3.77886,1.64143,0.00406,0.00406,0.00406
8,74.5123,502.186,3.57132,1.09674,0.0176,0.0176,0.00899,0.00203,503.604,3.76083,1.81646,0.00307,0.00307,0.00307
9,84.6075,502.131,3.56034,1.06333,0.1024,0.1024,0.05826,0.01372,503.417,3.65953,1.64622,0.00208,0.00208,0.00208
10,94.2864,502.068,3.55186,1.04425,0.1992,0.1992,0.12412,0.03992,502.758,3.65236,1.38812,0.00109,0.00109,0.00109
