epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.622,2.25971,1.64474,1.31023,0.7115,0.68366,0.62487,0.20288,2.15938,1.62946,1.2915,0.0420024,0.00199941,0.00199941
2,518.777,2.14952,1.50015,1.2484,0.66739,0.6547,0.59922,0.18305,2.50424,1.59073,1.50268,0.0336064,0.00360347,0.00360347
3,764.55,2.10777,1.45263,1.23145,0.76424,0.75204,0.725,0.26098,2.11941,1.49601,1.28993,0.0248145,0.00481153,0.00481153
4,1006.64,2.06814,1.40708,1.21019,0.75723,0.74952,0.70664,0.2535,2.12409,1.48309,1.29245,0.0156265,0.00562358,0.00562358
5,1244.22,2.02753,1.35861,1.19475,0.76503,0.75915,0.71975,0.26023,2.13611,1.46072,1.2955,0.0060426,0.00603964,0.00603964
6,1480.54,1.98909,1.31382,1.17647,0.76004,0.75234,0.70984,0.25579,2.15831,1.45996,1.31004,0.00505,0.00505,0.00505
7,1717.11,1.93831,1.25976,1.15776,0.76302,0.75113,0.70892,0.25449,2.17396,1.44559,1.31614,0.00406,0.00406,0.00406
8,1957.81,1.89544,1.20638,1.14204,0.75302,0.74185,0.69843,0.24815,2.21375,1.44797,1.33968,0.00307,0.00307,0.00307
9,2199.92,1.84739,1.14974,1.12514,0.74566,0.73569,0.68832,0.24199,2.24909,1.45486,1.36075,0.00208,0.00208,0.00208
10,2436.43,1.80844,1.10785,1.11144,0.74286,0.73408,0.68273,0.23778,2.28007,1.45442,1.38005,0.00109,0.00109,0.00109
1,9.13944,3.04601,4.01596,1.76736,0,0,0,0,3.41729,28.5979,2.69689,0.0422424,0.00193939,0.00193939
2,17.2835,2.17198,1.59388,1.30512,0,0,0,0,nan,nan,nan,0.0338524,0.00354939,0.00354939
3,25.5782,2.21913,1.53419,1.32875,0.0208,0.0208,0.01138,0.003,3.70485,3.97591,2.83808,0.0250664,0.00476339,0.00476339
4,33.0079,2.0488,1.32487,1.23166,0.0512,0.0512,0.02897,0.00792,2.8186,57.1521,1.9116,0.0158844,0.00558139,0.00558139
5,40.8309,1.9385,1.23606,1.19784,0.29776,0.2688,0.22591,0.06113,3.08727,3.86623,2.23883,0.00630642,0.00600339,0.00600339
6,48.516,1.89803,1.19369,1.17726,0.33343,0.288,0.30591,0.08419,3.16693,3.59394,2.1043,0.00505,0.00505,0.00505
7,56.3988,1.81045,1.11433,1.16353,0.54206,0.45379,0.43578,0.10827,2.95914,2.68515,1.93742,0.00406,0.00406,0.00406
8,64.4587,1.75679,1.06494,1.1419,0.49459,0.4568,0.42963,0.12754,3.00908,1.78329,1.93568,0.00307,0.00307,0.00307
9,72.5824,1.64461,0.97602,1.0958,0.62426,0.5264,0.55627,0.17045,2.78849,1.76678,1.79721,0.00208,0.00208,0.00208
10,80.5414,1.59352,0.9444,1.0778,0.59828,0.5584,0.53274,0.15356,2.82334,1.80549,1.8428,0.00109,0.00109,0.00109
1,9.03979,3.04601,4.01596,1.76736,0,0,0,0,3.41729,28.5979,2.69689,0.0422424,0.00193939,0.00193939
2,17.1971,2.17198,1.59388,1.30512,0,0,0,0,nan,nan,nan,0.0338524,0.00354939,0.00354939
3,25.2351,2.21913,1.53419,1.32875,0.0208,0.0208,0.01138,0.003,3.70485,3.97591,2.83808,0.0250664,0.00476339,0.00476339
4,32.8621,2.0488,1.32487,1.23166,0.0512,0.0512,0.02897,0.00792,2.8186,57.1521,1.9116,0.0158844,0.00558139,0.00558139
5,40.7046,1.9385,1.23606,1.19784,0.29776,0.2688,0.22591,0.06113,3.08727,3.86623,2.23883,0.00630642,0.00600339,0.00600339
6,48.3024,1.89803,1.19369,1.17726,0.33343,0.288,0.30591,0.08419,3.16693,3.59394,2.1043,0.00505,0.00505,0.00505
7,56.2779,1.81045,1.11433,1.16353,0.54206,0.45379,0.43578,0.10827,2.95914,2.68515,1.93742,0.00406,0.00406,0.00406
8,64.4589,1.75679,1.06494,1.1419,0.49459,0.4568,0.42963,0.12754,3.00908,1.78329,1.93568,0.00307,0.00307,0.00307
9,72.5489,1.64461,0.97602,1.0958,0.62426,0.5264,0.55627,0.17045,2.78849,1.76678,1.79721,0.00208,0.00208,0.00208
10,80.6058,1.59352,0.9444,1.0778,0.59828,0.5584,0.53274,0.15356,2.82334,1.80549,1.8428,0.00109,0.00109,0.00109
