epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.834,2.25971,1.64474,1.31023,0.72768,0.38588,0.51737,0.17727,2.15938,1.62946,1.2915,0.0420024,0.00199941,0.00199941
2,510.178,2.14952,1.50015,1.2484,0.70355,0.5245,0.56147,0.17717,2.50424,1.59073,1.50268,0.0336064,0.00360347,0.00360347
3,747.981,2.10777,1.45263,1.23145,0.79177,0.66571,0.69587,0.25557,2.11941,1.49601,1.28993,0.0248145,0.00481153,0.00481153
4,985.718,2.06814,1.40708,1.21019,0.78109,0.68696,0.6858,0.25012,2.12409,1.48309,1.29245,0.0156265,0.00562358,0.00562358
5,1221.29,2.02753,1.35861,1.19475,0.78164,0.72498,0.70919,0.25896,2.13611,1.46072,1.2955,0.0060426,0.00603964,0.00603964
6,1455.66,1.98909,1.31382,1.17647,0.77322,0.72156,0.70004,0.25471,2.15831,1.45996,1.31004,0.00505,0.00505,0.00505
7,1689.55,1.93831,1.25976,1.15776,0.7735,0.73461,0.70393,0.2545,2.17396,1.44559,1.31614,0.00406,0.00406,0.00406
8,1924.01,1.89544,1.20638,1.14204,0.75959,0.72862,0.6945,0.24797,2.21375,1.44797,1.33968,0.00307,0.00307,0.00307
9,2157.86,1.84739,1.14974,1.12514,0.75172,0.72468,0.68506,0.24192,2.24909,1.45486,1.36075,0.00208,0.00208,0.00208
10,2392.9,1.80844,1.10785,1.11144,0.74676,0.72594,0.6803,0.23753,2.28007,1.45442,1.38005,0.00109,0.00109,0.00109
