epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.224,2.27851,1.64622,1.32588,0.66124,0.64915,0.57543,0.17704,2.21385,1.62101,1.33011,0.0820053,0.00199941,0.00199941
2,518.213,2.17076,1.50812,1.26024,0.74578,0.73313,0.69979,0.24258,2.16165,1.5334,1.31094,0.0636094,0.00360347,0.00360347
3,761.908,2.12469,1.46617,1.2378,0.76314,0.75533,0.72404,0.25742,2.12493,1.4746,1.28896,0.0448174,0.00481153,0.00481153
4,1002.49,2.08637,1.42186,1.2159,0.75872,0.75017,0.70238,0.24831,2.11881,1.4885,1.28612,0.0256295,0.00562358,0.00562358
5,1240.05,2.04399,1.3771,1.20028,0.76442,0.75831,0.71483,0.25848,2.10764,1.48076,1.28639,0.00604556,0.00603964,0.00603964
6,1476.94,2.00779,1.3331,1.18282,0.76223,0.75421,0.71694,0.25585,2.13722,1.47075,1.30006,0.00505,0.00505,0.00505
7,1715.12,1.93702,1.25941,1.15632,0.74961,0.74467,0.69772,0.24474,2.16967,1.47538,1.31828,0.00214046,0.00214046,0.00214046
8,1951.83,1.89187,1.205,1.13877,0.74813,0.74289,0.69132,0.23998,2.2004,1.46815,1.33621,0.00104537,0.00104537,0.00104537
9,2188.43,1.86433,1.17323,1.12921,0.74509,0.74003,0.686,0.23858,2.21447,1.46636,1.34436,0.00034227,0.00034227,0.00034227
10,2431.56,1.99463,1.30896,1.18059,0.75853,0.75323,0.70586,0.25113,2.14409,1.46586,1.30614,0.01,0.01,0.01
1,9.80227,3.05927,3.97918,1.77667,0,0,0,0,4.40508,5.06945,3.73602,0.0825455,0.00193939,0.00193939
2,16.8398,2.21759,1.63742,1.3166,0,0,0,0,nan,nan,nan,0.0641555,0.00354939,0.00354939
3,23.8073,2.17954,1.46665,1.31405,0,0,0,0,3.84271,25.2808,2.89728,0.0453695,0.00476339,0.00476339
4,32.4645,2.01272,1.3121,1.21118,0.16428,0.1536,0.11099,0.02612,3.11459,4.06978,2.147,0.0261875,0.00558139,0.00558139
5,41.0805,2.03734,1.26819,1.23466,0.29247,0.2416,0.17083,0.04726,3.31326,5.25964,2.26645,0.00660945,0.00600339,0.00600339
6,49.3869,1.86862,1.15055,1.17351,0.14057,0.1384,0.09067,0.02707,4.07705,2.85891,3.02922,0.00505,0.00505,0.00505
7,56.8253,1.74949,1.03538,1.13245,0.48169,0.4342,0.38692,0.11155,3.19541,1.82068,2.02826,0.00214046,0.00214046,0.00214046
8,63.8734,1.65446,0.96359,1.11097,0.56987,0.448,0.45931,0.12629,3.12098,1.95538,1.96733,0.00104537,0.00104537,0.00104537
9,70.4871,1.58514,0.91149,1.08075,0.57299,0.47329,0.47691,0.13294,3.02346,1.92434,1.884,0.00034227,0.00034227,0.00034227
10,78.65,2.34956,1.70767,1.48596,0.54096,0.0408,0.02363,0.00657,3.21162,38.7654,2.00773,0.01,0.01,0.01
1,9.71822,3.05927,3.97918,1.77667,0,0,0,0,4.40508,5.06945,3.73602,0.0825455,0.00193939,0.00193939
2,16.68,2.21759,1.63742,1.3166,0,0,0,0,nan,nan,nan,0.0641555,0.00354939,0.00354939
3,23.6978,2.17954,1.46665,1.31405,0,0,0,0,3.84271,25.2808,2.89728,0.0453695,0.00476339,0.00476339
4,32.0963,2.01272,1.3121,1.21118,0.16428,0.1536,0.11099,0.02612,3.11459,4.06978,2.147,0.0261875,0.00558139,0.00558139
5,40.9741,2.03734,1.26819,1.23466,0.29247,0.2416,0.17083,0.04726,3.31326,5.25964,2.26645,0.00660945,0.00600339,0.00600339
6,48.9806,1.86862,1.15055,1.17351,0.14057,0.1384,0.09067,0.02707,4.07705,2.85891,3.02922,0.00505,0.00505,0.00505
7,56.4471,1.74949,1.03538,1.13245,0.48169,0.4342,0.38692,0.11155,3.19541,1.82068,2.02826,0.00214046,0.00214046,0.00214046
8,63.2239,1.65446,0.96359,1.11097,0.56987,0.448,0.45931,0.12629,3.12098,1.95538,1.96733,0.00104537,0.00104537,0.00104537
9,69.9119,1.58514,0.91149,1.08075,0.57299,0.47329,0.47691,0.13294,3.02346,1.92434,1.884,0.00034227,0.00034227,0.00034227
10,77.3807,2.34956,1.70767,1.48596,0.54096,0.0408,0.02363,0.00657,3.21162,38.7654,2.00773,0.01,0.01,0.01
