epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.211,2.27851,1.64622,1.32588,0.69904,0.43674,0.5096,0.16416,2.21385,1.62101,1.33011,0.0820053,0.00199941,0.00199941
2,517.35,2.17076,1.50812,1.26024,0.7912,0.514,0.62303,0.22758,2.16165,1.5334,1.31094,0.0636094,0.00360347,0.00360347
3,762.774,2.12469,1.46617,1.2378,0.79022,0.64932,0.68798,0.25067,2.12493,1.4746,1.28896,0.0448174,0.00481153,0.00481153
4,1005.75,2.08637,1.42186,1.2159,0.77871,0.68444,0.67993,0.24472,2.11881,1.4885,1.28612,0.0256295,0.00562358,0.00562358
5,1246.33,2.04399,1.3771,1.20028,0.78037,0.71792,0.70166,0.25694,2.10764,1.48076,1.28639,0.00604556,0.00603964,0.00603964
6,1484.17,2.00779,1.3331,1.18282,0.77581,0.72646,0.70816,0.25485,2.13722,1.47075,1.30006,0.00505,0.00505,0.00505
7,1723.85,1.93702,1.25941,1.15632,0.76227,0.72307,0.69152,0.24418,2.16967,1.47538,1.31828,0.00214046,0.00214046,0.00214046
8,1963.34,1.89187,1.205,1.13877,0.75723,0.72732,0.68684,0.23927,2.2004,1.46815,1.33621,0.00104537,0.00104537,0.00104537
9,2202.21,1.86433,1.17323,1.12921,0.75176,0.72459,0.68136,0.23786,2.21447,1.46636,1.34436,0.00034227,0.00034227,0.00034227
10,2441.26,1.99463,1.30896,1.18059,0.7722,0.72199,0.69598,0.24982,2.14409,1.46586,1.30614,0.01,0.01,0.01
